root@nfsclient:/home/vedams/iozone3_394/src/current# iozone -aczR -g 2097152 -U /nfs/general -f /nfs/general/testfile -b exceloutput.xls
        Iozone: Performance Test of File I/O
                Version $Revision: 3.429 $
                Compiled for 64 bit mode.
                Build: linux-AMD64

        Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
                     Al Slater, Scott Rhine, Mike Wisner, Ken Goss
                     Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
                     Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
                     Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
                     Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
                     Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
                     Vangel Bojaxhi, Ben England, Vikentsi Lapa.
addition
        Run began: Wed Feb 22 18:06:58 2017

        Auto Mode
        Include close in write timing
        Cross over of record size disabled.
        Excel chart generation enabled
        Using maximum file size of 2097152 kilobytes.
        Command line used: iozone -aczR -g 2097152 -U /nfs/general -f /nfs/general/testfile -b exceloutput.xls
        Output is in kBytes/sec
        Time Resolution = 0.000001 seconds.
        Processor cache size set to 1024 kBytes.
        Processor cache line size set to 32 bytes.
        File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                   
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
"1048576"   16356  17429  16307  16201  16642  17030  17036  17642  17444  17660  17971  16976  17714
"2097152"   16755  16682  18147  17785  17180  17911  17808  16594  16959  17969  17608  17108  17328

"Re-writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   29893  27200  8271  28958  28445
"128"   40470  38288  40568  37038  43154  42454
"256"   51538  57169  47146  49277  52935  51038  52319
"512"   61821  62636  68874  66064  64671  60066  64629  65833
"1024"   67904  69779  73505  72981  74635  71140  71250  25507  74919
"2048"   39234  37667  39414  41937  36125  39315  41672  37604  35403  40441
"4096"   38330  39054  39309  34708  39924  39961  41159  41402  36006  35149  37549
"8192"   53146  48996  50438  52882  51787  52897  51791  50597  47178  46716  50819  50644
"16384"   65780  77805  78532  79308  79006  77773  76951  65954  78670  69501  76021  75650  77658
"32768"   79877  81956  82157  80805  80726  71025  80641  81774  78860  75641  79415  71470  68114
"65536"   74759  78939  79319  81357  79983  63199  52853  57954  51830  56352  51730  57177  51168
"131072"   53206  53597  51407  55301  53979  51980  53620  55699  57258  54454  55548  50824  52709
"262144"   53314  51378  53434  53520  54078  53094  50269  50812  55834  52533  50011  52835  50694
"524288"   54424  51979  55944  51150  52847  55728  52831  52273  52934  56067  52353  56784  54174
"1048576"   54874  55517  56293  57418  54003  54579  54182  54288  54430  55329  53865  56047  54048
"2097152"   51854  52056  54586  55409  54467  53965  51235  54002  54577  53907  51338  54405  51889

"Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   112844  108292  251861  308970  300665
"128"   137949  162845  156668  558771  531131  449337
"256"   196626  197386  222823  261009  868157  850282  827989
"512"   220326  283653  284291  254960  424168  413868  562049  1524329
"1024"   269821  358307  396441  420053  473180  451540  506912  1648862  1687075
"2048"   392704  352439  485778  494447  508556  639617  492067  813378  1389326  1808862
"4096"   482393  561933  528663  547359  757262  567689  578372  788580  1941270  1827877  1898159
"8192"   652485  711856  552204  732417  687128  596007  683343  845678  792341  850766  1590963  2067148
"16384"   669031  676967  629525  722877  673715  323314  646061  720112  673299  774846  954665  1499940  2187695
"32768"   618217  644911  676466  702980  655201  682665  698585  692475  613791  664894  641264  836024  1236341
"65536"   697088  718778  691139  659137  677725  697488  651567  598185  547369  628696  686982  773076  895876
"131072"   640096  677430  746241  739217  627700  697053  663181  529123  677038  623941  667311  710832  695017
"262144"   504912  726227  687958  683267  741122  648819  661181  657440  660833  608802  641968  604082  675315
"524288"   653804  699892  693108  651885  687874  657425  578601  662426  635989  624199  647453  651674  625075
"1048576"   675891  730673  676990  661968  674554  685573  656505  599228  637339  491272  606047  647389  647728
"2097152"   82444  82344  83651  83693  83865  81754  81341  81696  81694  82228  80374  80925  83381

"Re-Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   109395  126215  293434  338589  344233
"128"   126865  121551  199002  509943  615109  677178
"256"   190622  184720  187690  251002  908560  941213  833776
"512"   260181  244398  250850  306967  420349  336395  565007  1467055
"1024"   306044  334530  377154  389926  447354  458775  544369  829816  1790460
"2048"   405074  458697  570160  478499  566513  630370  500380  757102  1381950  1793378
"4096"   501165  615571  460588  685636  583559  648106  630435  752255  1202583  1796530  1864376
"8192"   583854  788450  721694  684091  750248  568730  609876  767252  653838  882290  2103725  2102052
"16384"   630906  689243  570969  642761  630929  669801  796001  637834  751222  797507  1156741  1200826  2263949
"32768"   482250  690943  750012  685051  660177  695890  681332  616656  613205  744148  878171  863110  1100261
"65536"   622202  725277  728364  665515  643905  718060  589505  633590  608488  632592  687537  759925  719527
"131072"   650480  696665  634841  699775  651172  661826  655399  525559  670849  621624  624833  693806  694586
